labname,Address,country,affiliation,status,diagnostic,patient,research,latitude,longitude,absl4,acl4,containment,date,focus,size,type,urban,labtype
Integrated Research Facility at Fort Detrick (IRF - Detrick)," 8200 Research Plaza, Fort Detrick, Maryland 21702", United States,"National Institutes of Health, Department of Health and Human Services. Operated by Battelle Memorial Institute, National Institute of Allergy and Infectious Diseases (NIAID) until March 2020, since then operated by Laulima Government Solutions LLC (Jens Kuhn)",Operational,,,,39.44,-77.42,Yes,No,Suit,2013,Human,1305 SqM,Public Health,Yes,BSL4
Department of Veterinary Medicine," 8075 Greenmead Drive College Park, MD 20742", United States,University of Maryland,Operational,Yes,No,Research: Yes,39,-76.94,,,,,Human,,University,Yes,BSL3+
Mount Sinai School of Medicine," 1 Gustave L. Levy Pl, New York, NY 10029, United States", United States,Mount Sinai School of Medicine,Operational,Yes,Yes,Research: Yes,40.79,-73.95,,,,,Human,,University,Yes,BSL3+
Foreign Animal Disease Diagnostic Laboratory (FADDL) at Plum Island Animal Disease Center (PIADC)," P.O. Box 848 Greenport, N.Y. 11945", United States,U.S. Department of Agriculture (USDA) and Plant Health Inspection Service (APHIS),Operational,Yes,No,Research: Yes,41.18,-72.21,,,,,Animal,,Public Health,No,BSL3+
National Emerging Infectious Disease Laboratories (NEIDL)," 620 Albany Street, Boston, MA 02118", United States,Boston University,Operational,,,,42.34,-71.07,Yes,No,Suit,2017,Human,"1,202 SqM",University,Yes,BSL4
"Institute of Virology, National Institute of Agricultural Technology (INTA)"," 98WG+8F William C. Morris, Buenos Aires Province", Argentina,"Ministry of Agriculture, Livestock and Fisheries",Operational,Yes,No,Research: Yes,-34.6,-58.67,,,,2009,Animal,,Public Health,Yes,BSL3+
National Food Safety and Quality Service (SENASA)," Talcahuano 1660 (1640) Martínez, Buenos Aires Province", Argentina,"Ministry of Agriculture, Livestock and Fisheries (https://www.argentina.gob.ar/senasa/laboratorios)",Operational,Yes,No,Research: Yes,-34.5,-58.52,,,,,Animal,,Public Health,Yes,BSL3+
Laboratório de Virologia Clínica e Molecular do Instituto de Ciências Biomédicas (ICB-II)," Av. Prof. Lineu Prestes, nº 2415 Butantã - São Paulo/SP - CEP 05508-000", Brazil,Universidade de São Paulo,Operational,Yes,No,Research: Yes,-23.57,-46.73,,,,,Human,,University,Yes,BSL3+
Pan American Foot and Mouth Disease Center (PANAFTOSA)," Cidade Administrativa do Governo de, Prédio Gerais Rod. Papa João Paulo II, 4001 - Serra Verde Belo Horizonte - MG", Brazil,The Pan American Health Organization (PAHO),Planned,Yes,Unknown,Research: Yes,-19.79,-43.95,,,,Announced 2021,Animal,,Public Health,Yes,BSL3+
Pan American Foot and Mouth Disease Center (PANAFTOSA)," Cidade Administrativa do Governo de, Prédio Gerais Rod. Papa João Paulo II, 4001 - Serra Verde Belo Horizonte - MG", Brazil,The Pan American Health Organization (PAHO),Planned,,,,-22.74,-43.31,No,No,Unknown,Announced 2021,Animal,,Public Health,Yes,BSL4
Institut Pasteur de C�te d'Ivoire, Route de Dabou KM17 Adiopodoumé et Site Cocody CHU, Cote d'Ivoire,Ministry of Higher Education and Scientific Research,Under Construction,,,,5.32,-4.13,Unknown,No,Suit,,Human,140 SqM,Public Health,Yes,BSL4
Defence Science and Technology Laboratory (Dstl)," Dstl, Porton Down, Salisbury, Wiltshire SP4 0JQ", United Kingdom,Ministry of Defense,Operational,,,,51.14,-1.7,No,No,Suit,2005,Human,335 SqM,Defense,No,BSL4
Centre for Emergency Preparedness and Response," Porton Down, Salisbury, Wiltshire SP4 0JG", United Kingdom,United Kingdom Health Security Agency,Operational,,,,51.13,-1.7,No,No,Glove box,1974,Human,105 SqM,Public Health,No,BSL4
The Pirbright Institute," Ash Road, Pirbright, Woking, GU24 0NF", United Kingdom,The Pirbright Institute,Operational,Yes,No,Research: Yes,51.28,-0.64,,,,,Human,,Public Health,No,BSL3+
High Containment Large Animal Facility (HCLAF)," Pirbright, Woking, Surrey GU24 0NF, United Kingdom", United Kingdom,Pirbright Institute,Operational,,,,51.28,-0.63,No,No,Glove Box,,Animal,257 SqM,Public Health,Yes,BSL4
